Radial_Velocity;Radial_Demodulation;Axial_Acceleration;Axial_Velocity;Axial_Demodulation;Radial_Acceleration
0.002619;0.008756;0.029278;0.002619;0.008756;0.029278
0.001063;0.003546;0.011833;0.001063;0.003546;0.011833
0.001143;0.003805;0.012670;0.001143;0.003805;0.012670
0.001646;0.005471;0.018180;0.001646;0.005471;0.018180
0.000887;0.002942;0.009757;0.000887;0.002942;0.009757
0.001691;0.005596;0.018518;0.001691;0.005596;0.018518
0.001677;0.005539;0.018294;0.001677;0.005539;0.018294
0.002045;0.006740;0.022216;0.002045;0.006740;0.022216
0.001215;0.003999;0.013158;0.001215;0.003999;0.013158
0.000729;0.002393;0.007858;0.000729;0.002393;0.007858
0.000961;0.003148;0.010312;0.000961;0.003148;0.010312
0.001718;0.005617;0.018362;0.001718;0.005617;0.018362
0.002309;0.007533;0.024578;0.002309;0.007533;0.024578
0.001698;0.005530;0.018014;0.001698;0.005530;0.018014
0.002205;0.007164;0.023279;0.002205;0.007164;0.023279
0.001993;0.006465;0.020974;0.001993;0.006465;0.020974
0.001021;0.003306;0.010707;0.001021;0.003306;0.010707
0.001661;0.005364;0.017320;0.001661;0.005364;0.017320
0.002435;0.007850;0.025309;0.002435;0.007850;0.025309
0.001920;0.006181;0.019896;0.001920;0.006181;0.019896
0.001038;0.003335;0.010713;0.001038;0.003335;0.010713
0.001313;0.004205;0.013474;0.001313;0.004205;0.013474
0.001741;0.005569;0.017818;0.001741;0.005569;0.017818
0.001059;0.003383;0.010807;0.001059;0.003383;0.010807
0.000378;0.001205;0.003841;0.000378;0.001205;0.003841
0.000565;0.001796;0.005708;0.000565;0.001796;0.005708
0.001334;0.004233;0.013431;0.001334;0.004233;0.013431
0.001810;0.005735;0.018169;0.001810;0.005735;0.018169
0.001195;0.003779;0.011955;0.001195;0.003779;0.011955
0.000803;0.002533;0.007989;0.000803;0.002533;0.007989
0.001746;0.005500;0.017320;0.001746;0.005500;0.017320
0.001865;0.005863;0.018434;0.001865;0.005863;0.018434
0.001108;0.003478;0.010915;0.001108;0.003478;0.010915
0.000406;0.001270;0.003978;0.000406;0.001270;0.003978
0.000536;0.001675;0.005232;0.000536;0.001675;0.005232
0.001182;0.003688;0.011500;0.001182;0.003688;0.011500
0.001766;0.005499;0.017123;0.001766;0.005499;0.017123
0.001301;0.004042;0.012559;0.001301;0.004042;0.012559
0.001329;0.004121;0.012781;0.001329;0.004121;0.012781
0.001871;0.005793;0.017934;0.001871;0.005793;0.017934
0.001642;0.005074;0.015675;0.001642;0.005074;0.015675
0.002492;0.007687;0.023706;0.002492;0.007687;0.023706
0.001965;0.006050;0.018622;0.001965;0.006050;0.018622
0.001237;0.003800;0.011675;0.001237;0.003800;0.011675
0.000663;0.002034;0.006236;0.000663;0.002034;0.006236
0.000993;0.003039;0.009300;0.000993;0.003039;0.009300
0.001141;0.003487;0.010653;0.001141;0.003487;0.010653
0.000404;0.001231;0.003755;0.000404;0.001231;0.003755
0.001115;0.003394;0.010329;0.001115;0.003394;0.010329
0.001642;0.004989;0.015155;0.001642;0.004989;0.015155
0.001995;0.006048;0.018340;0.001995;0.006048;0.018340
0.001757;0.005317;0.016093;0.001757;0.005317;0.016093
0.000825;0.002493;0.007534;0.000825;0.002493;0.007534
0.001274;0.003841;0.011581;0.001274;0.003841;0.011581
0.000824;0.002480;0.007467;0.000824;0.002480;0.007467
0.001438;0.004319;0.012972;0.001438;0.004319;0.012972
0.001262;0.003785;0.011353;0.001262;0.003785;0.011353
0.001063;0.003182;0.009524;0.001063;0.003182;0.009524
0.001030;0.003077;0.009193;0.001030;0.003077;0.009193
0.003034;0.009045;0.026963;0.003034;0.009045;0.026963
0.004611;0.013723;0.040848;0.004611;0.013723;0.040848
0.003894;0.011574;0.034395;0.003894;0.011574;0.034395
0.002702;0.008014;0.023774;0.002702;0.008014;0.023774
0.002323;0.006877;0.020360;0.002323;0.006877;0.020360
0.002530;0.007477;0.022094;0.002530;0.007477;0.022094
0.004029;0.011882;0.035039;0.004029;0.011882;0.035039
0.005146;0.015153;0.044617;0.005146;0.015153;0.044617
0.004634;0.013620;0.040037;0.004634;0.013620;0.040037
0.003444;0.010107;0.029658;0.003444;0.010107;0.029658
0.001877;0.005499;0.016111;0.001877;0.005499;0.016111
0.001760;0.005143;0.015028;0.001760;0.005143;0.015028
0.002837;0.008280;0.024163;0.002837;0.008280;0.024163
0.002516;0.007330;0.021355;0.002516;0.007330;0.021355
0.001702;0.004951;0.014402;0.001702;0.004951;0.014402
0.001180;0.003424;0.009935;0.001180;0.003424;0.009935
0.001720;0.004983;0.014437;0.001720;0.004983;0.014437
0.001664;0.004813;0.013919;0.001664;0.004813;0.013919
0.001821;0.005258;0.015182;0.001821;0.005258;0.015182
0.001416;0.004082;0.011765;0.001416;0.004082;0.011765
0.001000;0.002877;0.008274;0.001000;0.002877;0.008274
0.001201;0.003450;0.009911;0.001201;0.003450;0.009911
0.000860;0.002463;0.007058;0.000860;0.002463;0.007058
0.002204;0.006307;0.018050;0.002204;0.006307;0.018050
0.002262;0.006461;0.018456;0.002262;0.006461;0.018456
0.002833;0.008081;0.023045;0.002833;0.008081;0.023045
0.001724;0.004909;0.013976;0.001724;0.004909;0.013976
0.001278;0.003630;0.010315;0.001278;0.003630;0.010315
0.002305;0.006539;0.018549;0.002305;0.006539;0.018549
0.001591;0.004507;0.012762;0.001591;0.004507;0.012762
0.001899;0.005370;0.015179;0.001899;0.005370;0.015179
0.001001;0.002824;0.007970;0.001001;0.002824;0.007970
0.001007;0.002837;0.007992;0.001007;0.002837;0.007992
0.001504;0.004229;0.011894;0.001504;0.004229;0.011894
0.001970;0.005530;0.015524;0.001970;0.005530;0.015524
0.004024;0.011276;0.031598;0.004024;0.011276;0.031598
0.003463;0.009689;0.027108;0.003463;0.009689;0.027108
0.000766;0.002141;0.005985;0.000766;0.002141;0.005985
0.003196;0.008909;0.024832;0.003196;0.008909;0.024832
0.004555;0.012678;0.035286;0.004555;0.012678;0.035286
0.003383;0.009402;0.026130;0.003383;0.009402;0.026130
0.001786;0.004957;0.013754;0.001786;0.004957;0.013754
0.002115;0.005855;0.016210;0.002115;0.005855;0.016210
0.002231;0.006168;0.017052;0.002231;0.006168;0.017052
0.001240;0.003424;0.009454;0.001240;0.003424;0.009454
0.000564;0.001554;0.004282;0.000564;0.001554;0.004282
0.000908;0.002498;0.006867;0.000908;0.002498;0.006867
0.000943;0.002590;0.007113;0.000943;0.002590;0.007113
0.000939;0.002574;0.007054;0.000939;0.002574;0.007054
0.000514;0.001409;0.003858;0.000514;0.001409;0.003858
