Axial_Velocity;Axial_Demodulation;Radial_Acceleration;Radial_Velocity;Radial_Demodulation;Axial_Acceleration
0.000770;0.002253;0.006593;0.000770;0.002253;0.006593
0.001386;0.004047;0.011820;0.001386;0.004047;0.011820
0.000578;0.001686;0.004917;0.000578;0.001686;0.004917
0.003120;0.009078;0.026415;0.003120;0.009078;0.026415
0.005462;0.015865;0.046084;0.005462;0.015865;0.046084
0.004955;0.014370;0.041672;0.004955;0.014370;0.041672
0.004535;0.013127;0.038001;0.004535;0.013127;0.038001
0.006634;0.019166;0.055378;0.006634;0.019166;0.055378
0.007083;0.020431;0.058938;0.007083;0.020431;0.058938
0.005959;0.017162;0.049424;0.005959;0.017162;0.049424
0.004510;0.012966;0.037276;0.004510;0.012966;0.037276
0.003321;0.009530;0.027351;0.003321;0.009530;0.027351
0.002213;0.006342;0.018171;0.002213;0.006342;0.018171
0.002750;0.007862;0.022475;0.002750;0.007862;0.022475
0.002031;0.005802;0.016574;0.002031;0.005802;0.016574
0.001643;0.004681;0.013332;0.001643;0.004681;0.013332
0.003328;0.009466;0.026922;0.003328;0.009466;0.026922
0.004432;0.012585;0.035738;0.004432;0.012585;0.035738
0.004031;0.011431;0.032415;0.004031;0.011431;0.032415
0.002138;0.006052;0.017134;0.002138;0.006052;0.017134
0.001408;0.003977;0.011230;0.001408;0.003977;0.011230
0.002427;0.006844;0.019304;0.002427;0.006844;0.019304
0.002176;0.006127;0.017252;0.002176;0.006127;0.017252
0.002417;0.006793;0.019088;0.002417;0.006793;0.019088
0.004390;0.012317;0.034559;0.004390;0.012317;0.034559
0.005382;0.015079;0.042242;0.005382;0.015079;0.042242
0.003754;0.010499;0.029364;0.003754;0.010499;0.029364
0.002047;0.005715;0.015956;0.002047;0.005715;0.015956
0.002136;0.005952;0.016587;0.002136;0.005952;0.016587
0.003312;0.009214;0.025636;0.003312;0.009214;0.025636
0.002837;0.007881;0.021889;0.002837;0.007881;0.021889
0.001768;0.004902;0.013593;0.001768;0.004902;0.013593
0.003992;0.011049;0.030585;0.003992;0.011049;0.030585
0.003789;0.010471;0.028940;0.003789;0.010471;0.028940
0.002397;0.006614;0.018250;0.002397;0.006614;0.018250
0.004161;0.011461;0.031563;0.004161;0.011461;0.031563
0.004380;0.012045;0.033121;0.004380;0.012045;0.033121
0.004820;0.013232;0.036324;0.004820;0.013232;0.036324
0.004620;0.012662;0.034703;0.004620;0.012662;0.034703
0.003488;0.009544;0.026118;0.003488;0.009544;0.026118
0.002149;0.005872;0.016044;0.002149;0.005872;0.016044
0.001757;0.004791;0.013065;0.001757;0.004791;0.013065
0.001203;0.003276;0.008923;0.001203;0.003276;0.008923
0.000941;0.002558;0.006952;0.000941;0.002558;0.006952
0.000927;0.002517;0.006830;0.000927;0.002517;0.006830
0.001633;0.004421;0.011971;0.001633;0.004421;0.011971
0.004085;0.011045;0.029863;0.004085;0.011045;0.029863
0.005985;0.016161;0.043637;0.005985;0.016161;0.043637
0.005294;0.014273;0.038481;0.005294;0.014273;0.038481
0.003726;0.010030;0.026998;0.003726;0.010030;0.026998
0.002917;0.007837;0.021058;0.002917;0.007837;0.021058
0.003962;0.010626;0.028498;0.003962;0.010626;0.028498
0.005732;0.015353;0.041127;0.005732;0.015353;0.041127
0.003279;0.008769;0.023450;0.003279;0.008769;0.023450
0.002278;0.006082;0.016240;0.002278;0.006082;0.016240
0.000958;0.002550;0.006793;0.000958;0.002550;0.006793
0.003570;0.009498;0.025275;0.003570;0.009498;0.025275
0.003657;0.009716;0.025814;0.003657;0.009716;0.025814
0.002379;0.006310;0.016735;0.002379;0.006310;0.016735
