Radial_Acceleration;Radial_Velocity;Radial_Demodulation;Axial_Acceleration;Axial_Velocity;Axial_Demodulation
0.004952;0.013635;0.037545;0.004952;0.013635;0.037545
0.002230;0.006130;0.016853;0.002230;0.006130;0.016853
0.001739;0.004773;0.013098;0.001739;0.004773;0.013098
0.002196;0.006016;0.016482;0.002196;0.006016;0.016482
0.002269;0.006207;0.016979;0.002269;0.006207;0.016979
0.001395;0.003810;0.010407;0.001395;0.003810;0.010407
0.001405;0.003831;0.010444;0.001405;0.003831;0.010444
0.002336;0.006358;0.017302;0.002336;0.006358;0.017302
0.002567;0.006975;0.018954;0.002567;0.006975;0.018954
0.002592;0.007032;0.019076;0.002592;0.007032;0.019076
0.002211;0.005990;0.016226;0.002211;0.005990;0.016226
0.001438;0.003889;0.010520;0.001438;0.003889;0.010520
0.001213;0.003275;0.008840;0.001213;0.003275;0.008840
0.001393;0.003754;0.010118;0.001393;0.003754;0.010118
0.001212;0.003262;0.008779;0.001212;0.003262;0.008779
0.000987;0.002651;0.007123;0.000987;0.002651;0.007123
0.001596;0.004279;0.011474;0.001596;0.004279;0.011474
0.002280;0.006105;0.016351;0.002280;0.006105;0.016351
0.001475;0.003944;0.010548;0.001475;0.003944;0.010548
0.000912;0.002435;0.006497;0.000912;0.002435;0.006497
0.001732;0.004614;0.012296;0.001732;0.004614;0.012296
0.001878;0.004997;0.013297;0.001878;0.004997;0.013297
0.000571;0.001516;0.004027;0.000571;0.001516;0.004027
0.000579;0.001535;0.004069;0.000579;0.001535;0.004069
0.001508;0.003993;0.010573;0.001508;0.003993;0.010573
0.001786;0.004722;0.012484;0.001786;0.004722;0.012484
0.001106;0.002919;0.007706;0.001106;0.002919;0.007706
0.000221;0.000584;0.001539;0.000221;0.000584;0.001539
0.000368;0.000968;0.002547;0.000368;0.000968;0.002547
0.000591;0.001554;0.004081;0.000591;0.001554;0.004081
0.001256;0.003292;0.008634;0.001256;0.003292;0.008634
0.001696;0.004441;0.011629;0.001696;0.004441;0.011629
0.002334;0.006102;0.015952;0.002334;0.006102;0.015952
0.002764;0.007214;0.018829;0.002764;0.007214;0.018829
0.001341;0.003498;0.009122;0.001341;0.003498;0.009122
0.000494;0.001285;0.003343;0.000494;0.001285;0.003343
0.001365;0.003545;0.009207;0.001365;0.003545;0.009207
0.001825;0.004735;0.012284;0.001825;0.004735;0.012284
0.001220;0.003159;0.008185;0.001220;0.003159;0.008185
0.001192;0.003082;0.007968;0.001192;0.003082;0.007968
0.001538;0.003970;0.010251;0.001538;0.003970;0.010251
0.001328;0.003424;0.008828;0.001328;0.003424;0.008828
0.001456;0.003747;0.009643;0.001456;0.003747;0.009643
0.001749;0.004494;0.011551;0.001749;0.004494;0.011551
0.001799;0.004615;0.011839;0.001799;0.004615;0.011839
0.002397;0.006141;0.015734;0.002397;0.006141;0.015734
0.001953;0.004997;0.012783;0.001953;0.004997;0.012783
0.001278;0.003264;0.008336;0.001278;0.003264;0.008336
0.001452;0.003704;0.009446;0.001452;0.003704;0.009446
0.001274;0.003245;0.008261;0.001274;0.003245;0.008261
0.002189;0.005566;0.014151;0.002189;0.005566;0.014151
0.000701;0.001779;0.004516;0.000701;0.001779;0.004516
0.001114;0.002822;0.007153;0.001114;0.002822;0.007153
0.001314;0.003326;0.008417;0.001314;0.003326;0.008417
0.001558;0.003937;0.009948;0.001558;0.003937;0.009948
0.000638;0.001610;0.004063;0.000638;0.001610;0.004063
0.000911;0.002295;0.005780;0.000911;0.002295;0.005780
0.001895;0.004765;0.011984;0.001895;0.004765;0.011984
0.001731;0.004349;0.010923;0.001731;0.004349;0.010923
0.001741;0.004366;0.010947;0.001741;0.004366;0.010947
0.002364;0.005919;0.014819;0.002364;0.005919;0.014819
0.002301;0.005753;0.014384;0.002301;0.005753;0.014384
0.001426;0.003560;0.008890;0.001426;0.003560;0.008890
0.001370;0.003415;0.008509;0.001370;0.003415;0.008509
0.001556;0.003873;0.009641;0.001556;0.003873;0.009641
0.001261;0.003133;0.007787;0.001261;0.003133;0.007787
0.001239;0.003073;0.007625;0.001239;0.003073;0.007625
0.001348;0.003339;0.008272;0.001348;0.003339;0.008272
0.001602;0.003962;0.009800;0.001602;0.003962;0.009800
0.002022;0.004995;0.012340;0.002022;0.004995;0.012340
0.001823;0.004496;0.011091;0.001823;0.004496;0.011091
0.002277;0.005606;0.013804;0.002277;0.005606;0.013804
0.003968;0.009759;0.023999;0.003968;0.009759;0.023999
0.003928;0.009647;0.023689;0.003928;0.009647;0.023689
0.003597;0.008819;0.021625;0.003597;0.008819;0.021625
0.003026;0.007409;0.018139;0.003026;0.007409;0.018139
0.001863;0.004555;0.011135;0.001863;0.004555;0.011135
0.000952;0.002323;0.005671;0.000952;0.002323;0.005671
0.001050;0.002558;0.006236;0.001050;0.002558;0.006236
0.001213;0.002952;0.007186;0.001213;0.002952;0.007186
0.000840;0.002043;0.004966;0.000840;0.002043;0.004966
0.002285;0.005545;0.013454;0.002285;0.005545;0.013454
0.003066;0.007430;0.018004;0.003066;0.007430;0.018004
0.002846;0.006887;0.016664;0.002846;0.006887;0.016664
0.001913;0.004624;0.011175;0.001913;0.004624;0.011175
0.000671;0.001619;0.003909;0.000671;0.001619;0.003909
0.000359;0.000865;0.002083;0.000359;0.000865;0.002083
0.001190;0.002862;0.006882;0.001190;0.002862;0.006882
0.003164;0.007598;0.018247;0.003164;0.007598;0.018247
0.004219;0.010119;0.024274;0.004219;0.010119;0.024274
0.003775;0.009042;0.021660;0.003775;0.009042;0.021660
0.002642;0.006320;0.015120;0.002642;0.006320;0.015120
0.001397;0.003337;0.007970;0.001397;0.003337;0.007970
0.001044;0.002490;0.005939;0.001044;0.002490;0.005939
0.001189;0.002831;0.006740;0.001189;0.002831;0.006740
0.001933;0.004597;0.010931;0.001933;0.004597;0.010931
0.001811;0.004302;0.010216;0.001811;0.004302;0.010216
0.001182;0.002804;0.006650;0.001182;0.002804;0.006650
0.000768;0.001818;0.004305;0.000768;0.001818;0.004305
0.000691;0.001633;0.003861;0.000691;0.001633;0.003861
0.000947;0.002237;0.005282;0.000947;0.002237;0.005282
0.000162;0.000383;0.000902;0.000162;0.000383;0.000902
0.001174;0.002763;0.006506;0.001174;0.002763;0.006506
