timeseries;label
1675429902034_2000;0
1675429914034_2000;0
1675429926034_2000;0
1675429938034_2000;0
1675429950034_2000;0
1675429962034_2000;0
1675429974034_2000;0
1675429986034_2000;0
1675429998034_2000;0
1675430010034_2000;0
1675430022034_2000;0
1675430034034_2000;0
1675430046034_2000;0
1675430058034_2000;0
1675430070034_2000;0
1675430082034_2000;0
1675430094034_2000;0
1675430106034_2000;0
1675430118034_2000;0
1675430130034_2000;0
1675430142034_3000;0
1675430154034_3000;0
1675430166034_3000;0
1675430178034_3000;0
1675430190034_3000;0
1675430202034_3000;0
1675430214034_3000;0
1675430226034_3000;0
1675430238034_3000;0
1675430250034_3000;0
1675430262034_3000;0
1675430274034_3000;0
1675430286034_3000;0
1675430298034_3000;0
1675430310034_3000;0
1675430322034_3000;0
1675430334034_3000;0
1675430346034_3000;0
1675430358034_3000;0
1675430370034_3000;0
1675430382034_4000;0
1675430394034_4000;0
1675430406034_4000;0
1675430418034_4000;0
1675430430034_4000;0
1675430442034_4000;0
1675430454034_4000;0
1675430466034_4000;0
1675430478034_4000;0
1675430490034_4000;0
1675430502034_4000;0
1675430514034_4000;0
1675430526034_4000;0
1675430538034_4000;0
1675430550034_4000;0
1675430562034_4000;0
1675430574034_4000;0
1675430586034_4000;0
1675430598034_4000;0
1675430610034_4000;0
1675430622034_5000;0
1675430634034_5000;0
1675430646034_5000;0
1675430658034_5000;0
1675430670034_5000;0
1675430682034_5000;0
1675430694034_5000;0
1675430706034_5000;0
1675430718034_5000;0
1675430730034_5000;0
1675430742034_5000;0
1675430754034_5000;0
1675430766034_5000;0
1675430778034_5000;0
1675430790034_5000;0
1675430802034_5000;0
1675430814034_5000;0
1675430826034_5000;0
1675430838034_5000;0
1675430850034_5000;0
1675430862034_6000;0
1675430874034_6000;0
1675430886034_6000;0
1675430898034_6000;0
1675430910034_6000;0
1675430922034_6000;0
1675430934034_6000;0
1675430946034_6000;0
1675430958034_6000;0
1675430970034_6000;0
1675430982034_6000;0
1675430994034_6000;0
1675431006034_6000;0
1675431018034_6000;0
1675431030034_6000;0
1675431042034_6000;0
1675431054034_6000;0
1675431066034_6000;0
1675431078034_6000;0
1675431090034_6000;0
1675431102034_7000;0
1675431114034_7000;0
1675431126034_7000;0
1675431138034_7000;0
1675431150034_7000;0
1675431162034_7000;0
1675431174034_7000;0
1675431186034_7000;0
1675431198034_7000;0
1675431210034_7000;0
1675431222034_7000;0
1675431234034_7000;0
1675431246034_7000;0
1675431258034_7000;0
1675431270034_7000;0
1675431282034_7000;0
1675431294034_7000;0
1675431306034_7000;0
1675431318034_7000;0
1675431330034_7000;0
1675431342034_8000;0
1675431354034_8000;0
1675431366034_8000;0
1675431378034_8000;0
1675431390034_8000;0
1675431402034_8000;0
1675431414034_8000;0
1675431426034_8000;0
1675431438034_8000;0
1675431450034_8000;0
1675431462034_8000;0
1675431474034_8000;0
1675431486034_8000;0
1675431498034_8000;0
1675431510034_8000;0
1675431522034_8000;0
1675431534034_8000;0
1675431546034_8000;0
1675431558034_8000;0
1675431570034_8000;0
1675431582034_8500;0
1675431594034_8500;0
1675431606034_8500;0
1675431618034_8500;0
1675431630034_8500;0
1675431642034_8500;0
1675431654034_8500;0
1675431666034_8500;0
1675431678034_8500;0
1675431690034_8500;0
1675431702034_8500;0
1675431714034_8500;0
1675431726034_8500;0
1675431738034_8500;0
1675431750034_8500;0
1675431762034_8500;0
1675431774034_8500;0
1675431786034_8500;0
1675431798034_8500;0
1675431810034_8500;0
1675431822034_5000;1
1675431834034_5000;1
1675431846034_5000;1
1675431858034_5000;1
1675431870034_5000;1
1675431882034_5000;1
1675431894034_5000;1
1675431906034_5000;1
1675431918034_5000;1
1675431930034_5000;1
1675431942034_5000;1
1675431954034_5000;1
1675431966034_5000;1
1675431978034_5000;1
1675431990034_5000;1
1675432002034_5000;1
1675432014034_5000;1
1675432026034_5000;1
1675432038034_5000;1
1675432050034_5000;1
1675432062034_6000;1
1675432074034_6000;1
1675432086034_6000;1
1675432098034_6000;1
1675432110034_6000;1
1675432122034_6000;1
1675432134034_6000;1
1675432146034_6000;1
1675432158034_6000;1
1675432170034_6000;1
1675432182034_6000;1
1675432194034_6000;1
1675432206034_6000;1
1675432218034_6000;1
1675432230034_6000;1
1675432242034_6000;1
1675432254034_6000;1
1675432266034_6000;1
1675432278034_6000;1
1675432290034_6000;1
1675432302034_7000;1
1675432314034_7000;1
1675432326034_7000;1
1675432338034_7000;1
1675432350034_7000;1
1675432362034_7000;1
1675432374034_7000;1
1675432386034_7000;1
1675432398034_7000;1
1675432410034_7000;1
1675432422034_7000;1
1675432434034_7000;1
1675432446034_7000;1
1675432458034_7000;1
1675432470034_7000;1
1675432482034_7000;1
1675432494034_7000;1
1675432506034_7000;1
1675432518034_7000;1
1675432530034_7000;1
1675432542034_8000;1
1675432554034_8000;1
1675432566034_8000;1
1675432578034_8000;1
1675432590034_8000;1
1675432602034_8000;1
1675432614034_8000;1
1675432626034_8000;1
1675432638034_8000;1
1675432650034_8000;1
1675432662034_8000;1
1675432674034_8000;1
1675432686034_8000;1
1675432698034_8000;1
1675432710034_8000;1
1675432722034_8000;1
1675432734034_8000;1
1675432746034_8000;1
1675432758034_8000;1
1675432770034_8000;1
1675432782034_8500;1
1675432794034_8500;1
1675432806034_8500;1
1675432818034_8500;1
1675432830034_8500;1
1675432842034_8500;1
1675432854034_8500;1
1675432866034_8500;1
1675432878034_8500;1
1675432890034_8500;1
1675432902034_8500;1
1675432914034_8500;1
1675432926034_8500;1
1675432938034_8500;1
1675432950034_8500;1
1675432962034_8500;1
1675432974034_8500;1
1675432986034_8500;1
1675432998034_8500;1
1675433010034_8500;1
