timeseries,labels
1671452778385,0
1671452778397,0
1671452778398,0
1671452778398,0
1671452778399,0
1671452778399,0
1671452778400,0
1671452778401,0
1671452778401,0
1671452778402,0
1671452778404,0
1671452778405,0
1671452778407,0
1671452778407,0
1671452778408,0
1671452778409,0
1671452778410,0
1671452778411,0
1671452778412,0
1671452778414,0
1671452778414,0
1671452778414,0
1671452778416,0
1671452778416,0
1671452778417,0
1671452778418,0
1671452778419,0
1671452778420,0
1671452778422,0
1671452778422,0
1671452778423,0
1671452778424,0
1671452778425,0
1671452778426,0
1671452778427,0
1671452778476,0
1671452778485,0
1671452778487,0
1671452778487,0
1671452778488,0
1671452778489,0
1671452778489,0
1671452778490,0
1671452778491,0
1671452778492,0
1671452778493,0
1671452778494,0
1671452778494,0
1671452778494,0
1671452778496,0
1671452778497,0
1671452778498,0
1671452778499,0
1671452778499,0
1671452778500,0
1671452778501,0
1671452778501,0
1671452778502,0
1671452778503,0
1671452778504,0
1671452778504,0
1671452778505,0
1671452778505,0
1671452778506,0
1671452778506,0
1671452778507,0
1671452778508,0
1671452778508,0
1671452778509,0
1671452778509,0
1671452778553,0
1671452778564,0
1671452778564,0
1671452778564,0
1671452778565,0
1671452778566,0
1671452778567,0
1671452778568,0
1671452778569,0
1671452778570,0
1671452778571,0
1671452778571,0
1671452778572,0
1671452778573,0
1671452778574,0
1671452778574,0
1671452778575,0
1671452778576,0
1671452778576,0
1671452778577,0
1671452778578,0
1671452778579,0
1671452778579,0
1671452778580,0
1671452778581,0
1671452778581,0
1671452778582,0
1671452778582,0
1671452778583,0
1671452778584,0
1671452778584,0
1671452778585,0
1671452778586,0
1671452778587,0
1671452778587,0
1671452778631,0
1671452778641,0
1671452778641,0
1671452778642,0
1671452778642,0
1671452778643,0
1671452778643,0
1671452778644,0
1671452778644,0
1671452778645,0
1671452778646,0
1671452778646,0
1671452778647,0
1671452778648,0
1671452778648,0
1671452778648,0
1671452778649,0
1671452778650,0
1671452778650,0
1671452778650,0
1671452778652,0
1671452778652,0
1671452778652,0
1671452778653,0
1671452778654,0
