timeseries,labels
1671452739151,0
1671452739165,0
1671452739165,0
1671452739166,0
1671452739167,0
1671452739168,0
1671452739169,0
1671452739170,0
1671452739171,0
1671452739172,0
1671452739173,0
1671452739173,0
1671452739174,0
1671452739175,0
1671452739175,0
1671452739176,0
1671452739177,0
1671452739178,0
1671452739179,0
1671452739180,0
1671452739181,0
1671452739182,0
1671452739183,0
1671452739185,0
1671452739185,0
1671452739222,0
1671452739233,0
1671452739234,0
1671452739236,0
1671452739236,0
1671452739237,0
1671452739237,0
1671452739238,0
1671452739239,0
1671452739240,0
1671452739240,0
1671452739241,0
1671452739242,0
1671452739242,0
1671452739243,0
1671452739244,0
1671452739245,0
1671452739245,0
1671452739246,0
1671452739247,0
1671452739247,0
1671452739248,0
1671452739249,0
1671452739249,0
1671452739250,0
1671452739286,0
1671452739296,0
1671452739296,0
1671452739296,0
1671452739297,0
1671452739298,0
1671452739298,0
1671452739299,0
1671452739300,0
1671452739300,0
1671452739301,0
1671452739301,0
1671452739302,0
1671452739303,0
1671452739303,0
1671452739304,0
1671452739304,0
1671452739305,0
1671452739306,0
1671452739306,0
1671452739307,0
1671452739308,0
1671452739308,0
1671452739309,0
1671452739309,0
1671452739339,0
1671452739348,0
1671452739349,0
1671452739350,0
1671452739351,0
1671452739351,0
1671452739352,0
1671452739352,0
1671452739353,0
1671452739354,0
1671452739354,0
1671452739355,0
1671452739356,0
1671452739357,0
1671452739357,0
1671452739358,0
1671452739358,0
1671452739359,0
1671452739359,0
1671452739360,0
1671452739361,0
1671452739361,0
1671452739362,0
1671452739362,0
1671452739363,0
1671452739393,0
1671452739403,0
1671452739404,0
1671452739405,0
1671452739406,0
1671452739407,0
1671452739407,0
1671452739408,0
1671452739408,0
1671452739409,0
1671452739409,0
1671452739410,0
1671452739411,0
1671452739411,0
1671452739412,0
1671452739412,0
1671452739413,0
1671452739413,0
1671452739414,0
1671452739415,0
1671452739415,0
1671452739416,0
1671452739416,0
1671452739417,0
1671452739417,0
1671452739444,0
1671452739455,0
1671452739456,0
1671452739457,0
1671452739457,0
1671452739457,0
1671452739458,0
1671452739458,0
1671452739459,0
1671452739459,0
1671452739460,0
1671452739461,0
1671452739461,0
1671452739462,0
1671452739462,0
1671452739463,0
1671452739464,0
1671452739464,0
1671452739465,0
1671452739466,0
1671452739467,0
1671452739467,0
1671452739467,0
1671452739468,0
1671452739469,0
1671452739497,0
1671452739508,0
1671452739508,0
1671452739509,0
1671452739510,0
1671452739510,0
1671452739511,0
1671452739512,0
1671452739512,0
1671452739513,0
1671452739513,0
1671452739514,0
1671452739515,0
1671452739516,0
1671452739517,0
1671452739518,0
1671452739519,0
1671452739520,0
1671452739521,0
1671452739521,0
1671452739522,0
1671452739522,0
1671452739523,0
1671452739523,0
1671452739524,0
1671452739551,0
1671452739561,0
1671452739562,0
1671452739562,0
1671452739563,0
1671452739563,0
1671452739564,0
1671452739564,0
1671452739565,0
1671452739566,0
1671452739567,0
1671452739567,0
