C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;
-2.18;-5.5;-10.96;-9.82;-2.59;-4.93;-14.97;-10.06;-12.78;-13.64;-11.23;-11.63;-10.48;-22.11;-31.75;55.7;53.32;-38.88;-44.22;-3.72;-79.48;76.92;
-1.56;-5.66;-10.7;-9.83;-2.6;-4.93;-14.31;-10.05;-12.74;-13.63;-11.23;-11.63;-10.47;-22.07;-31.75;55.69;53.34;-38.88;-44.22;-3.71;-79.48;76.94;
-0.95;-5.78;-10.42;-9.83;-2.59;-4.92;-13.58;-10.05;-12.73;-13.65;-11.21;-11.63;-10.47;-22.05;-31.75;55.69;53.36;-38.88;-44.22;-3.71;-79.49;76.94;
-0.26;-5.97;-10.08;-9.84;-2.58;-4.9;-13.03;-10.05;-12.73;-13.65;-11.21;-11.64;-10.48;-22.04;-31.74;55.67;53.38;-38.86;-44.22;-3.7;-79.49;76.99;
0.32;-6.24;-9.83;-9.83;-2.56;-4.9;-12.6;-10.07;-12.75;-13.64;-11.2;-11.64;-10.47;-22.02;-31.75;55.68;53.4;-38.87;-44.22;-3.66;-79.49;76.99;
0.86;-6.58;-9.51;-9.81;-2.56;-4.89;-12.4;-10.07;-12.76;-13.64;-11.2;-11.62;-10.47;-22.02;-31.74;55.69;53.39;-38.83;-44.21;-3.64;-79.49;77.01;
1.33;-6.98;-9.24;-9.82;-2.56;-4.89;-12.23;-10.06;-12.77;-13.61;-11.2;-11.61;-10.46;-21.99;-31.76;55.72;53.41;-38.81;-44.2;-3.62;-79.46;76.99;
1.7;-7.47;-8.87;-9.82;-2.56;-4.91;-12.09;-10.06;-12.75;-13.59;-11.19;-11.61;-10.43;-21.99;-31.73;55.74;53.42;-38.8;-44.18;-3.61;-79.45;77;
2.12;-7.93;-8.63;-9.83;-2.55;-4.91;-11.94;-10.03;-12.74;-13.56;-11.18;-11.6;-10.43;-22;-31.74;55.77;53.42;-38.79;-44.16;-3.62;-79.45;77;
2.43;-8.41;-8.57;-9.83;-2.54;-4.91;-11.71;-10;-12.73;-13.55;-11.18;-11.58;-10.41;-22;-31.72;55.78;53.43;-38.8;-44.14;-3.62;-79.43;77.02;
2.6;-8.82;-8.69;-9.83;-2.55;-4.91;-11.44;-9.99;-12.73;-13.55;-11.19;-11.58;-10.4;-22.02;-31.72;55.8;53.45;-38.79;-44.14;-3.63;-79.45;77.01;
2.76;-9.21;-8.83;-9.81;-2.54;-4.9;-11.1;-9.97;-12.74;-13.54;-11.17;-11.59;-10.4;-22.04;-31.71;55.81;53.47;-38.79;-44.14;-3.62;-79.44;77.01;
2.98;-9.54;-9.1;-9.81;-2.54;-4.91;-10.65;-9.98;-12.74;-13.55;-11.18;-11.59;-10.42;-22.04;-31.7;55.81;53.47;-38.78;-44.14;-3.63;-79.45;77.02;
3.14;-9.88;-9.31;-9.81;-2.52;-4.92;-10.11;-10;-12.75;-13.56;-11.16;-11.59;-10.42;-22.06;-31.7;55.83;53.47;-38.77;-44.14;-3.62;-79.47;77.04;
3.31;-10.29;-9.54;-9.83;-2.54;-4.91;-9.48;-10.03;-12.75;-13.57;-11.13;-11.57;-10.43;-22.07;-31.67;55.81;53.48;-38.77;-44.15;-3.61;-79.48;77.04;
3.48;-10.71;-9.59;-9.84;-2.53;-4.92;-8.74;-10.03;-12.75;-13.55;-11.13;-11.58;-10.43;-22.05;-31.65;55.82;53.47;-38.76;-44.15;-3.59;-79.47;77.05;
3.63;-11.18;-9.6;-9.84;-2.52;-4.93;-8.01;-10.04;-12.74;-13.54;-11.14;-11.58;-10.39;-22.04;-31.66;55.82;53.46;-38.76;-44.15;-3.58;-79.48;77.05;
3.67;-11.69;-9.61;-9.85;-2.52;-4.94;-7.3;-10.06;-12.72;-13.53;-11.15;-11.57;-10.39;-22.05;-31.66;55.8;53.45;-38.76;-44.16;-3.59;-79.48;77.02;
3.83;-12.23;-9.52;-9.83;-2.56;-4.96;-6.68;-10.05;-12.73;-13.54;-11.16;-11.58;-10.38;-22.03;-31.67;55.81;53.44;-38.77;-44.17;-3.59;-79.48;77;
3.93;-12.74;-9.36;-9.8;-2.56;-5.36;-6.14;-10.05;-12.73;-13.54;-11.16;-11.58;-10.39;-22.02;-31.68;55.81;53.44;-38.78;-44.17;-3.58;-79.47;76.97;
4.11;-13.25;-9.19;-9.79;-2.57;-5.92;-5.66;-10.05;-12.74;-13.55;-11.16;-11.56;-10.41;-22.01;-31.68;55.8;53.46;-38.79;-44.16;-3.61;-79.5;76.95;
4.32;-13.73;-8.94;-9.76;-2.58;-6.04;-5.25;-10.05;-12.77;-13.56;-11.17;-11.59;-10.42;-22.01;-31.68;55.79;53.45;-38.78;-44.18;-3.62;-79.5;76.95;
4.4;-14.21;-8.76;-9.28;-2.56;-6.07;-4.95;-10.05;-12.79;-13.57;-11.16;-11.59;-10.43;-22;-31.7;55.76;53.45;-38.81;-44.18;-3.64;-79.5;76.94;
4.49;-14.73;-8.77;-8.64;-2.53;-6.05;-4.69;-10.04;-12.81;-13.59;-11.18;-11.62;-10.43;-22.02;-31.69;55.72;53.44;-38.83;-44.18;-3.63;-79.53;76.94;
