ID;Time;num_measure;CPU1_node01_Watt;min_CPU1_node01_Watt;max_CPU1_node01_Watt;CPU1_node01_Joule;min_CPU1_node01_Joule;max_CPU1_node01_Joule;CPU2_node01_Watt;min_CPU2_node01_Watt;max_CPU2_node01_Watt;CPU2_node01_Joule;min_CPU2_node01_Joule;max_CPU2_node01_Joule;ATX+12V_node01_Watt;min_ATX+12V_node01_Watt;max_ATX+12V_node01_Watt;ATX+12V_node01_Joule;min_ATX+12V_node01_Joule;max_ATX+12V_node01_Joule;Dummy_Watt;min_Dummy_Watt;max_Dummy_Watt;Dummy_Joule;min_Dummy_Joule;max_Dummy_Joule; ;power;energy
phase:0;0.0477097;597;39.3975;38.0064;41.838;1.87964;1.81327;1.99608;49.332;47.4551;52.3549;2.35361;2.26407;2.49784;26.6623;25.6914;28.1368;1.27205;1.22573;1.3424;14.0883;14.0749;14.1062;0.672146;0.67151;0.673003; ;165.3918;7.89079316046
phase:1;0.0159912;201;39.5352;38.6735;40.9498;0.632216;0.618436;0.654838;49.5065;48.0073;51.5153;0.791669;0.767695;0.823792;26.7691;26.0355;28.0074;0.42807;0.416339;0.447872;14.086;14.0764;14.0963;0.225253;0.225099;0.225417; ;165.8108;2.65151366496
phase:2;0.00828242;104;40.6493;38.251;44.6344;0.336674;0.316811;0.369681;50.9175;47.7455;56.4738;0.421721;0.395449;0.46774;27.5255;26.0533;30.15;0.227978;0.215784;0.249715;14.0928;14.0871;14.1001;0.116723;0.116676;0.116783; ;169.0923;1.400493447366
phase:0;0.00785685;100;40.9864;38.8619;43.9587;0.322024;0.305332;0.345377;51.3931;47.8094;55.4912;0.403788;0.375631;0.435986;27.7798;25.8981;30.3017;0.218261;0.203477;0.238076;14.0931;14.0856;14.1001;0.110727;0.110668;0.110782; ;170.1593;1.336916096205
phase:1;0.00826774;103;39.9762;38.8107;41.6185;0.326515;0.316996;0.339929;50.0762;47.9424;52.3955;0.409009;0.391581;0.427953;27.0536;26.3469;28.3489;0.220967;0.215195;0.231547;14.0855;14.0757;14.097;0.115047;0.114967;0.115141; ;167.106;1.36487836044
phase:2;0.0108893;137;40.6552;38.5564;42.8223;0.442707;0.419851;0.466304;50.9318;47.9038;53.4275;0.554612;0.521639;0.581787;27.4965;26.0479;29.0279;0.299417;0.283643;0.316094;14.0881;14.0772;14.0978;0.153409;0.153291;0.153515; ;169.0835;1.84120095655
phase:0;0.0111029;140;41.4376;39.1575;43.4827;0.460079;0.434762;0.482784;51.8838;48.8813;54.9026;0.576061;0.542725;0.609579;28.0397;26.6614;29.1997;0.311323;0.296019;0.324202;14.0897;14.0795;14.097;0.156436;0.156323;0.156518; ;171.3611;1.90260515719
phase:1;0.0040946;52;40.4072;38.9695;42.265;0.165451;0.159564;0.173058;50.6563;48.1095;53.6099;0.207417;0.196989;0.219511;27.3183;26.296;28.5877;0.111858;0.107671;0.117055;14.0853;14.0818;14.0902;0.0576735;0.0576593;0.0576937; ;168.3818;0.68945611828
phase:2;0.0132799;167;41.1444;38.7184;44.9778;0.546394;0.514177;0.597301;51.5382;48.4647;57.5519;0.684423;0.643607;0.764284;27.8709;26.0774;30.4622;0.370123;0.346306;0.404535;14.0892;14.0803;14.0986;0.187103;0.186985;0.187228; ;170.5535;2.26493342465
phase:0;0.0141191;177;42.169;39.6084;44.9389;0.59539;0.559237;0.634498;52.866;49.5571;56.8321;0.746422;0.699704;0.802421;28.5663;26.7991;29.9313;0.403331;0.378381;0.422605;14.0878;14.0772;14.0955;0.198908;0.198758;0.199017; ;173.6013;2.45109411483
